,columna,metrica,tiempo_procesamiento,cluster
57,394.0,3.058627615465111,176.07131505012512,0
58,395.0,3.7919047474588496,178.21102643013,0
59,396.0,3.29946866909474,172.4848086833954,0
60,397.0,3.473468824453468,179.9972894191742,0
61,398.0,3.8803606900755616,172.45297980308533,0
62,400.0,4.40484467131406,181.59279441833496,0
63,401.0,2.967374363390857,181.05362391471863,0
64,402.0,3.730560323626861,178.14981722831726,0
65,404.0,4.014747500179571,179.77565574645996,1
66,405.0,2.631347560741588,178.6394419670105,2
67,408.0,4.273093415480049,179.25664114952087,0
68,409.0,3.903350017991192,178.76586937904358,0
69,410.0,4.69234316047,173.92568969726562,0
70,412.0,3.3503826825950505,179.7431766986847,0
71,413.0,4.485062284422472,178.99582362174988,0
72,414.0,3.6871645040026086,179.8168306350708,0
73,415.0,3.846255615615057,178.43498539924622,2
74,416.0,3.644579664187981,179.8683180809021,2
75,418.0,3.2572956216695883,180.94238901138303,2
76,419.0,4.253105697645562,178.0689036846161,2
77,421.0,2.8202705412287234,181.55056405067444,2
78,423.0,2.7729290836382323,177.45930290222168,2
79,424.0,4.156964950576817,177.17179131507874,2
0,425.0,3.5341459838692217,193.4344322681427,1
1,426.0,3.6024314887627864,180.99987363815308,2
2,427.0,3.885425312888263,179.81052207946777,2
3,428.0,2.8936273379439865,180.8261992931366,0
4,492.0,3.230301798932312,180.28096652030945,0
5,494.0,2.730393548368617,175.92185282707214,0
6,495.0,2.727717509167714,180.95600652694705,2
7,496.0,2.2354536325141887,180.5362741947174,2
8,28.0,2.806797304613778,179.84944701194763,2
9,66.0,1.839041019909399,180.69020342826843,0
10,290.0,1.9230077248335973,181.96523809432983,2
11,186.0,3.32255574298528,176.51740908622742,2
12,256.0,2.87463077548696,179.18424558639526,2
13,406.0,3.920401195523458,171.37111115455627,0
14,497.0,1.8674556146870915,184.2986660003662,1
15,166.0,4.775209457850832,180.94886326789856,0
16,260.0,2.830539231784317,170.99247360229492,0
17,283.0,2.23954478296691,181.1105599403381,2
18,499.0,2.0190642379566768,180.61311149597168,2
19,257.0,2.7802455449502723,178.19684720039368,2
20,357.0,2.697714975661964,182.370947599411,2
21,501.0,1.619911286233089,188.7512276172638,2
22,514.0,2.4930586103027323,201.10768699646,2
23,469.0,1.7987415521856531,179.957053899765,2
24,471.0,1.6447998475695214,171.72945427894592,2
25,472.0,1.5496484216577426,178.94485569000244,1
26,474.0,1.8403089074962315,171.84225845336914,0
27,479.0,1.835804621236392,180.45594310760495,2
28,43.0,3.2510834744874875,185.6741647720337,2
29,379.0,1.6528022346805844,178.60874390602112,1
30,383.0,2.343087348839669,182.96574687957764,0
31,403.0,2.0327120485408394,186.50287294387817,2
32,417.0,3.62018650291427,182.6053295135498,2
33,422.0,2.5032173712715773,175.90985584259033,0
34,435.0,3.1449125321101854,181.4693064689636,0
35,436.0,1.9594994823050065,179.5478959083557,0
36,455.0,2.271037157340676,179.57144832611084,2
37,457.0,1.390419311243158,177.46463227272034,1
38,461.0,2.3802810267120424,180.16417956352237,2
39,464.0,2.336021549818128,180.53143858909607,2
40,477.0,1.975409648101956,188.30075335502625,2
41,478.0,2.643182581645514,179.39509224891663,2
42,480.0,2.553954513036236,182.16636323928836,2
43,481.0,1.6878673094785537,180.35165524482727,2
44,482.0,1.496277643056522,176.56688475608826,2
45,483.0,1.8510253982207745,181.79090905189517,2
46,484.0,1.604405832574191,176.39443588256836,2
47,486.0,1.755739578845734,165.62588572502136,2
48,489.0,2.994517392672728,179.543527841568,1
49,429.0,2.132707026256239,181.3157107830048,0
50,432.0,2.5964347932468548,183.0229742527008,0
51,451.0,2.933473817690948,177.55047035217285,2
52,454.0,4.01212978374827,181.68815445899963,2
53,462.0,1.8425472395663671,168.04256510734558,1
54,463.0,1.3673246107830852,180.8732671737671,0
55,485.0,3.277894319635608,186.35140109062195,0
56,507.0,2.874371738810817,184.64485216140747,2
57,508.0,3.618874540722063,177.5892972946167,2
58,516.0,2.0828757814390046,169.53514218330383,1
59,355.0,3.267286384919169,180.2663152217865,2
60,411.0,3.410546840729404,180.34227085113525,0
61,434.0,2.6254779175231966,181.2538056373596,2
62,440.0,3.5942153124313787,180.17894768714905,2
63,443.0,3.6857266275599128,183.0640709400177,1
64,447.0,4.013087476817707,180.5605912208557,0
65,448.0,3.6447680424074864,181.201180934906,0
66,460.0,1.2869798849274157,174.74426174163818,1
67,466.0,3.235426439619149,178.98582816123962,2
68,473.0,1.805546263178473,172.61048913002014,2
69,475.0,2.046891064434876,179.96084690093994,2
70,476.0,2.014194433860757,174.7211434841156,2
71,487.0,2.0876557181976154,179.30946683883667,1
72,488.0,2.3054347356100253,176.65472626686096,1
73,491.0,1.9139470036663149,180.6567175388336,1
74,505.0,2.0790682883586027,181.8540403842926,2
75,506.0,1.8742555498590532,182.73356914520264,2
76,510.0,3.4336707006168043,180.23097443580627,2
77,511.0,2.114953071831814,179.74718499183655,2
78,515.0,2.008709424858129,179.30274486541748,2
79,437.0,3.3868099383183687,178.6179051399231,0
80,438.0,2.692041933771883,179.0215904712677,2
81,439.0,3.100341808123014,180.12398505210876,2
82,442.0,2.4943689171453163,174.72319269180298,2
83,444.0,3.9791561214702735,182.1509838104248,2
84,445.0,3.153275814766182,181.11669659614563,2
85,468.0,1.383131287513634,168.43434834480286,2
86,470.0,2.7869290450007447,183.74774742126465,2
87,512.0,1.9921538469180489,183.7009744644165,1
88,77.0,4.33683462834335,180.6735837459564,0
89,245.0,4.231293628211654,179.66333532333374,0
90,441.0,2.3426275662890403,184.2248191833496,2
91,446.0,2.142124243453345,181.6726474761963,0
92,459.0,2.3692055791732884,169.59875297546387,0
93,493.0,2.0881166323175715,176.0847873687744,1
94,498.0,1.6133635964847313,179.77099061012268,2
95,517.0,1.5656098067987034,173.30026936531067,2
96,519.0,2.2990078933803964,170.44012808799744,2
97,504.0,2.4970983541768743,182.3474485874176,2
98,518.0,1.34651997675601,182.3617444038391,2
99,433.0,3.738527890031493,177.95803117752075,0
100,330.0,2.618164545506084,183.70141673088077,1
101,399.0,3.2425287463423347,180.2642457485199,2
102,430.0,2.293238666966137,179.10296964645386,0
103,449.0,3.856857626545729,182.3955590724945,0
104,456.0,2.637705525017183,178.9778470993042,2
105,513.0,1.834866090312872,184.8992490768433,1
106,10.0,1.7029476867857198,182.60473108291623,0
107,366.0,3.258044103425644,182.4873740673065,0
108,450.0,2.761018815051259,179.09560132026672,0
109,452.0,3.812236674888384,177.80317330360413,2
110,458.0,1.9471369463112904,177.10842847824097,0
111,490.0,3.75567315877092,183.7608258724213,1
112,465.0,4.390546785422513,181.92281937599185,1
113,502.0,1.939854609784043,178.9187614917755,2
114,503.0,1.867278499226682,177.07334971427915,2
115,52.0,4.297844276434285,183.68634629249573,2
116,91.0,4.415454818098673,179.6944615840912,2
117,467.0,2.207391751894236,182.22403979301453,1
